Date,Close/Last,Volume,Open,High,Low
04/02/2025,$583.93,13470780,$574.91,$592.66,$573.36
04/01/2025,$586.00,12836570,$570.84,$589.91,$570.00
03/31/2025,$576.36,21124680,$563.50,$578.70,$553.30
03/28/2025,$576.74,17602820,$600.31,$601.75,$573.92
03/27/2025,$602.58,10436520,$602.00,$614.25,$600.10
03/26/2025,$610.98,12661890,$624.89,$626.7499,$606.61
03/25/2025,$626.31,15312540,$626.76,$633.88,$621.18
03/24/2025,$618.85,15741270,$614.97,$622.54,$612.2001
03/21/2025,$596.25,25015860,$583.425,$597.545,$580.95
03/20/2025,$586.00,24336510,$582.755,$610.20,$579.51
03/19/2025,$584.06,20537500,$584.28,$592.3223,$574.77
03/18/2025,$582.36,20297710,$600.05,$600.25,$574.66
03/17/2025,$604.90,15473910,$607.46,$613.10,$598.00
03/14/2025,$607.60,12364510,$602.805,$608.86,$594.78
03/13/2025,$590.64,16480320,$620.245,$620.50,$586.51
03/12/2025,$619.56,15746970,$629.90,$633.33,$609.35
03/11/2025,$605.71,17401470,$595.055,$614.934,$593.33
03/10/2025,$597.99,21999940,$608.07,$610.1059,$586.8701
03/07/2025,$625.66,21375670,$625.37,$634.79,$600.61
03/06/2025,$627.93,13446450,$648.00,$650.5625,$624.11
03/05/2025,$656.47,13770030,$641.00,$659.50,$637.66
03/04/2025,$640.00,21495210,$645.51,$649.75,$623.65
03/03/2025,$655.05,10843760,$673.675,$681.25,$650.8439
02/28/2025,$668.20,17534170,$658.04,$669.63,$642.6017
02/27/2025,$658.24,12500010,$682.45,$688.6469,$657.57
02/26/2025,$673.70,14488710,$659.65,$683.0078,$658.00
02/25/2025,$657.50,20579660,$665.972,$668.00,$641.86
02/24/2025,$668.13,15676990,$686.28,$687.27,$662.45
02/21/2025,$683.55,15660360,$696.58,$703.87,$682.36
02/20/2025,$694.84,12587410,$697.275,$705.63,$693.64
02/19/2025,$703.77,17535480,$704.095,$707.00,$695.39
